temp,humidity,precip,windspeed
19,66.5,0,15.3
19.2,72.7,0,16.3
18.4,78.4,2,23
15.9,93.4,8,16.6
14.8,93.5,6,15.8
16.4,79.4,0,12.9
17.4,73.3,0,20
16.5,75.4,0,11.2
18.6,66.2,0,27
18.4,67.8,0,20.4
17.6,65.2,0,19.1
18.1,67.8,0,20.9
18.9,67.1,0,21
19.1,66,0,24.4
19.3,64,0,26
19.3,68.2,0.4,20.6
18.5,66,0,28.7
20,65.7,0,61.2
19.4,68.1,0,24.7
19.8,65.2,0,26.9
18.4,71.7,0,20.2
18.4,66.6,0,24
18.7,63,0,22.2
19.3,60.1,0,20.2
19,72.7,2,15.9
18.3,70.5,0,16.8
18.6,67.2,0,24.5
19.5,65.3,0,24.6
19.7,69.1,2,18.7
20.2,67.9,0,22.5
20.4,66,0,18.9
21.2,64.8,0,31.4
19.4,78.4,7,14.8
20.2,71,0,20.2
19.5,71.6,0,23.9
19.8,68.7,0.4,25.2
19.3,77,6,24.9
19.9,72.3,0,14.9
21.1,62.2,0,21.1
20.3,62.1,0,23.5
21,57,0,25.6
20.4,57.3,0,22.2
20.2,67.2,0,17.4
21.1,65.4,0,25.1
21.8,57.7,0,24.7
21.1,65.4,1,22.7
20.8,74,8,20.8
19.9,79,33,27.7
20.5,70,1,19.4
19.8,77.7,0,25.9
19.7,74.5,1,15.7
19.7,70.3,0,16.6
19.7,73.3,0,18.9
20.6,67.7,0,20.9
20.8,63.9,0,18.1
21.4,60.7,0,21.6
20.5,65.1,0,24.6
21,62.5,0,22.8
19.5,71.8,0,21.6
20.2,65.2,0,22.3
20.9,61.2,0,21.4
20.1,69.8,0,33.1
20.1,69.3,0.4,25.4
19.2,77.4,1,24.3
19.8,72.1,3,31.6
19.8,73.9,12,29.6
19.9,72.3,0,20.1
20.8,62.2,0,19.4
20.7,63.8,0,20.8
20,74,0,22.3
17.3,89.2,10,25.6
18.8,77.8,0,30.7
19.3,77.5,1,21.6
17.7,89.2,2,24.1
18.4,82.6,1,22.7
18.5,85.3,8,19
19.3,79.8,0,23.4
20,75.7,0.4,27.2
19.5,78.6,10,24
18.1,86.7,14,26.6
18.9,79,0,20.5
17.9,83.5,0.8,25.3
19.7,72.3,0,19.7
20.7,71.3,0,20.4
21.1,69.7,0,21.9
21,70.2,0,24
21.2,65.2,0,22.1
20.9,66.6,0,21.6
20.8,68.5,0,25.3
21.1,67,0,29.1
19.6,77.4,6,24.3
19.6,80.8,1,27.4
18.5,82.2,10,30.9
17.6,83.6,2,39.3
17.8,75.3,0,34.4
18.7,66.5,0,28.5
19.3,68.5,0,24.6
20.1,76.6,0,31.1
19.5,77.9,17,28.9
19.4,77.3,0,33.5
18.9,79.5,2,30.3
19.7,71.8,0,25.1
19,77.2,8,28.4
19.2,69.9,0,21.3
19.3,68.3,0,23.7
19.8,68.9,0,25.2
20.1,69.3,0,17.4
20.9,65.9,0,25.6
21.8,66.3,0,25.4
20.8,70.4,0,31.4
20.8,65.1,0,25.6
21,64.8,0,21.6
19.8,74.2,2,16.8
19.4,79,0,25.8
18.9,84.9,0,29.7
19.9,79,0,31.7
19.8,73.3,0,22.8
20.5,67.8,0,22.3
21.2,64.3,0,24.1
20.5,66.3,0,21.6
20.2,66.1,0,27.5
20,62.8,0,21
20.2,53.4,0,20.4
20.6,50.2,0,25.9
20.5,47.3,0,24
21.1,51.1,0,25.2
21.1,52,0,16.8
21,59,0,21.6
21.1,62.5,0,20.2
21.2,64,0,24.5
21.4,60.3,0,27.1
